Date,Close,High,Low,Open,Volume,SMA_20,RSI,Returns
2024-01-20,41665.5859375,41877.89453125,41446.82421875,41624.58984375,11586690904.0,43740.1208984375,38.88045114281562,0.0011336255217606617
2024-01-21,41545.78515625,41855.3671875,41497.0078125,41671.48828125,9344043642.0,43609.0435546875,38.321974356343866,-0.0028752933279206916
2024-01-22,39507.3671875,41651.20703125,39450.1171875,41553.65234375,31338708143.0,43336.5134765625,30.337127960429612,-0.049064374667218136
2024-01-23,39845.55078125,40127.3515625,38521.89453125,39518.71484375,29244553045.0,43186.3822265625,32.83741612637533,0.008560013431039293
2024-01-24,40077.07421875,40483.78515625,39508.796875,39877.59375,22359526178.0,42981.23984375,34.56882842033433,0.005810521700930993
2024-01-25,39933.80859375,40254.48046875,39545.6640625,40075.55078125,18491782013.0,42769.795703125,33.984990929538625,-0.0035747525934159974
2024-01-26,41816.87109375,42209.38671875,39825.69140625,39936.81640625,25598119893.0,42661.1794921875,46.72188622853652,0.04715459322091098
2024-01-27,42120.0546875,42195.6328125,41431.28125,41815.625,11422941934.0,42570.02734375,48.446549346615484,0.007250269707417489
2024-01-28,42035.59375,42797.17578125,41696.91015625,42126.125,16858971687.0,42323.2818359375,47.9805816308041,-0.002005242826170095
2024-01-29,43288.24609375,43305.8671875,41818.33203125,42030.9140625,20668476578.0,42180.7076171875,54.90772901347082,0.029799801358818767
2024-01-30,42952.609375,43838.9453125,42711.37109375,43300.2265625,23842814518.0,41996.94921875,52.875975933459465,-0.007753530092744043
2024-01-31,42582.60546875,43717.40625,42298.9453125,42946.25,24673628793.0,41807.6501953125,50.65089361436769,-0.00861423582021903
2024-02-01,43075.7734375,43243.16796875,41879.19140625,42569.76171875,21423953779.0,41818.78046875,53.46194723555279,0.011581441842771323
2024-02-02,43185.859375,43422.48828125,42584.3359375,43077.640625,18603843039.0,41835.954296875,54.09060327219591,0.0025556346111748063
2024-02-03,42992.25,43359.94140625,42890.80859375,43184.96484375,11169245236.0,41895.7533203125,52.74122317142852,-0.0044831659668692625
2024-02-04,42583.58203125,43097.64453125,42374.83203125,42994.94140625,14802225490.0,41899.333984375,49.910895374012725,-0.009505619472114146
2024-02-05,42658.66796875,43494.25,42264.81640625,42577.62109375,18715487317.0,41874.5201171875,50.437173472253676,0.0017632602500394778
2024-02-06,43084.671875,43344.1484375,42529.01953125,42657.390625,16798476726.0,41891.62109375,53.42699940698982,0.009986338686479135
2024-02-07,44318.22265625,44341.94921875,42775.95703125,43090.01953125,21126587775.0,42044.429296875,60.8008541383976,0.028630850081180936
2024-02-08,45301.56640625,45575.83984375,44332.125,44332.125,26154524080.0,42228.5873046875,65.49137456119391,0.022188248784866804
