Date,Close,High,Low,Open,Volume,SMA_20,RSI,Returns
2022-01-31,171.54928588867188,171.76522050687674,166.37669476906368,167.0146888598467,115541600.0,166.72171020507812,56.46994330796261,0.02612561722994866
2022-02-01,171.38243103027344,171.60817541361024,169.12494226668923,170.79351570873365,86213900.0,166.35854949951172,56.119103521499035,-0.0009726351091121632
2022-02-02,172.5896759033203,172.62894490892336,170.12607747590965,171.5198276400682,84914300.0,166.16911697387695,58.14527935083291,0.007044157710854426
2022-02-03,169.70404052734375,172.98231399971922,168.93845956073986,171.25483696595504,89418100.0,166.0699836730957,51.968366526157354,-0.01671962914857672
2022-02-04,169.4190673828125,171.0996042103979,167.7385305552271,168.72129677126426,82465400.0,166.09990386962892,51.38778386178995,-0.0016792360608840484
2022-02-07,168.7016143798828,170.95214191132882,168.00384392494493,169.88093057527257,77251200.0,166.08560791015626,49.87700948482535,-0.004234783097398109
2022-02-08,171.81700134277344,172.32804392038554,168.4755875609354,168.7704203940124,74829200.0,166.2260986328125,55.935099711651795,0.01846684736445603
2022-02-09,173.2420196533203,173.60563833840823,171.8857975368838,173.01598763252147,71285000.0,166.2960121154785,58.411200276157004,0.008293814345554651
2022-02-10,169.1536865234375,172.45578102776864,168.59351767675065,171.13887812913805,90865900.0,166.1394241333008,49.7703463193731,-0.02359896945362383
2022-02-11,165.73367309570312,170.09715694195197,165.14400744238606,169.3600823732159,98670700.0,165.97574844360352,43.917532798160494,-0.020218379498696315
2022-02-14,165.96951293945312,166.65744608251217,163.68948881295134,164.4855268067638,86185500.0,165.78067855834962,44.40306598222216,0.0014230049895400665
2022-02-15,169.81214904785156,169.96939522398472,167.31592973397568,168.02352253075418,62527400.0,165.93821868896484,51.73503419605116,0.0231526624398799
2022-02-16,169.57630920410156,170.35268789659128,167.1193937273566,168.88837586977738,61177400.0,166.25916748046876,51.28798229349652,-0.0013888278610946214
2022-02-17,165.96951293945312,168.94729246969413,165.5665753142979,168.08245366366685,69589300.0,166.48418655395508,44.898133129595955,-0.021269458461366297
2022-02-18,164.41676330566406,167.6009157130797,163.32589238939244,166.893337952625,82772700.0,166.734627532959,42.44636174911172,-0.009355631683726884
2022-02-22,161.48812866210938,163.81727946148703,159.35551308277192,162.1367428748668,91162800.0,166.87740631103514,38.208382867972695,-0.017812263084817648
2022-02-23,157.31137084960938,163.28657531432245,156.9968785115613,162.68708741626082,90009200.0,166.90164642333986,33.128244701464084,-0.025864178668137616
2022-02-24,159.93536376953125,160.0434686425656,149.38045024208816,149.95045639119465,141147500.0,167.06150436401367,38.64722829695481,0.016680249531551228
2022-02-25,162.0089874267578,162.27432346013268,158.09756779697935,161.0163841306603,91974200.0,167.34810791015624,42.6736792467129,0.01296538556797655
2022-02-28,162.2743377685547,162.569170605232,159.63069449285575,160.249841950296,95056600.0,167.10274658203124,43.18749399720747,0.0016378742069285135
2022-03-01,160.3874053955078,163.72881873455478,159.1786074354802,161.86155436972356,83474400.0,166.54465255737304,40.41353100302712,-0.011628039275921265
2022-03-02,163.68951416015625,164.47573001503346,160.14172804891763,161.5569135885326,79724800.0,166.16000671386718,46.84759399772522,0.02058832959175061
